id,content,created_at,curated,description,,,,,,file_bom,image_layout,image_main,image_schematic,proficiency,title,updated_at,category_id,user_id
48,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Two-wheeled self-balancing robot using IMU sensors.,,,,,,,,main-raspberry-pi-14.png,,BEGINNER,PCB Design (48-6-5-1-0),00:00.0,5,6
49,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Battery-optimized STM32 sensor node with deep sleep strategy.,,,,,,,,main-raspberry-pi-21.png,,INTERMEDIATE,PCB Design (49-7-5-2-0),00:00.0,5,7
50,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Central dashboard for monitoring and controlling home lighting.,,,,,,,,main-raspberry-pi-22.png,,INTERMEDIATE,PCB Design (50-8-5-2-0),00:00.0,5,8
51,"This Sensors project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Conference badge with motion, temperature and proximity sensors.",,,,,,,,main-raspberry-pi-31.png,,INTERMEDIATE,PCB Design (51-9-5-2-0),00:00.0,5,9
52,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Wall-mounted display showing live global weather conditions.,,,,,,,,main-raspberry-pi-32.png,,ADVANCE,PCB Design (52-11-5-3-0),00:00.0,5,11
53,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Handheld USB-C power and protocol tester with OLED display.,,,,,,,,main-raspberry-pi-33.png,,ADVANCE,PCB Design (53-12-5-3-0),00:00.0,5,12
54,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Sound-reactive LED strip visualizer for music playback.,,,,,,,,main-raspberry-pi-34.png,,ADVANCE,PCB Design (54-13-5-3-0),00:00.0,5,13
55,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Handheld USB-C power and protocol tester with OLED display.,,,,,,,,main-raspberry-pi-35.png,,ADVANCE,PCB Design (55-14-5-3-0),00:00.0,5,14
56,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Sound-reactive LED strip visualizer for music playback.,,,,,,,,main-robotics-11.png,,BEGINNER,Robotics (56-15-6-1-0),00:00.0,6,15
57,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Wi-Fi enabled water leak detection system for home safety.,,,,,,,,main-robotics-12.png,,BEGINNER,Robotics (57-16-6-1-0),00:00.0,6,16
58,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Desktop robotic arm capable of drawing vector graphics.,,,,,,,,main-robotics-21.png,,INTERMEDIATE,Robotics (58-31-6-2-0),00:00.0,6,31
59,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Stackable sensor hat with temperature, humidity and pressure sensors.",,,,,,,,main-robotics-22.png,,INTERMEDIATE,Robotics (59-32-6-2-0),00:00.0,6,32
60,"This ESP32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Smart meter that monitors household power usage and uploads data to the cloud.,,,,,,,,main-robotics-31.png,,ADVANCE,Robotics (60-33-6-3-0),00:00.0,6,33
61,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Pocket-sized logic analyzer with STM32 and USB interface.,,,,,,,,main-robotics-32.png,,ADVANCE,Robotics (61-34-6-3-0),00:00.0,6,34
62,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Handlebar-mounted bike computer with GPS and heart rate display.,,,,,,,,main-sensor-11.png,,BEGINNER,Sensors (62-35-7-1-0),00:00.0,7,35
63,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Motorized camera slider controlled by Raspberry Pi for time-lapse photography.,,,,,,,,main-sensor-12.png,,BEGINNER,Sensors (63-36-7-1-0),00:00.0,7,36
64,"This Sensors project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Classroom-friendly kit of swappable sensor modules and tutorials.,,,,,,,,main-sensor-13.png,,BEGINNER,Sensors (64-37-7-1-0),07:39.1,7,37
65,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Automated greenhouse system managing light, temperature and irrigation.",,,,,,,,main-sensor-14.png,,BEGINNER,Sensors (65-38-7-1-0),00:00.0,7,38
66,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Two-wheeled self-balancing robot using IMU sensors.,,,,,,,,main-sensor-21.png,,INTERMEDIATE,Sensors (66-5-7-2-0),00:00.0,7,5
67,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Battery-optimized STM32 sensor node with deep sleep strategy.,,,,,,,,main-sensor-22.png,,INTERMEDIATE,Sensors (67-6-7-2-0),00:00.0,7,6
68,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Central dashboard for monitoring and controlling home lighting.,,,,,,,,main-sensor-31.png,,ADVANCE,Sensors (68-7-7-3-0),00:00.0,7,7
69,"This Sensors project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Conference badge with motion, temperature and proximity sensors.",,,,,,,,main-stm32-11.png,,BEGINNER,STM32 (69-8-8-1-0),00:00.0,8,8
70,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Wall-mounted display showing live global weather conditions.,,,,,,,,main-stm32-12.png,,BEGINNER,STM32 (70-9-8-1-0),00:00.0,8,9
71,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Handheld USB-C power and protocol tester with OLED display.,,,,,,,,main-stm32-31.png,,ADVANCE,STM32 (71-3-8-3-0),00:00.0,8,3
72,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Sound-reactive LED strip visualizer for music playback.,,,,,,,,main-stm32-32.png,,ADVANCE,STM32 (72-4-8-3-0),00:00.0,8,4
